slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1782172800,BNB,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
btc-updown-15m-1782172800,BTC,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
doge-updown-15m-1782172800,DOGE,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
eth-updown-15m-1782172800,ETH,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
hype-updown-15m-1782172800,HYPE,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
sol-updown-15m-1782172800,SOL,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782172800,XRP,,,2026-06-23T00:00:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782173700,BNB,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
btc-updown-15m-1782173700,BTC,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
doge-updown-15m-1782173700,DOGE,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
eth-updown-15m-1782173700,ETH,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
hype-updown-15m-1782173700,HYPE,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
sol-updown-15m-1782173700,SOL,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782173700,XRP,,,2026-06-23T00:15:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782174600,BNB,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
btc-updown-15m-1782174600,BTC,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
doge-updown-15m-1782174600,DOGE,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
eth-updown-15m-1782174600,ETH,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
hype-updown-15m-1782174600,HYPE,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
sol-updown-15m-1782174600,SOL,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782174600,XRP,,,2026-06-23T00:30:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782175500,BNB,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
btc-updown-15m-1782175500,BTC,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
doge-updown-15m-1782175500,DOGE,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
eth-updown-15m-1782175500,ETH,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
hype-updown-15m-1782175500,HYPE,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
sol-updown-15m-1782175500,SOL,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782175500,XRP,,,2026-06-23T00:45:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782176400,BNB,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
btc-updown-15m-1782176400,BTC,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
doge-updown-15m-1782176400,DOGE,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
eth-updown-15m-1782176400,ETH,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
hype-updown-15m-1782176400,HYPE,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
sol-updown-15m-1782176400,SOL,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782176400,XRP,,,2026-06-23T01:00:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782177300,BNB,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
btc-updown-15m-1782177300,BTC,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
doge-updown-15m-1782177300,DOGE,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
eth-updown-15m-1782177300,ETH,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
hype-updown-15m-1782177300,HYPE,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
sol-updown-15m-1782177300,SOL,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782177300,XRP,,,2026-06-23T01:15:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782178200,BNB,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
btc-updown-15m-1782178200,BTC,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
doge-updown-15m-1782178200,DOGE,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
eth-updown-15m-1782178200,ETH,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
hype-updown-15m-1782178200,HYPE,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
sol-updown-15m-1782178200,SOL,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
xrp-updown-15m-1782178200,XRP,,,2026-06-23T01:30:00Z,,,,,,,,,,,,,
bnb-updown-15m-1782179100,BNB,,,2026-06-23T01:45:00Z,,,,,,,,,,,,,
btc-updown-15m-1782179100,BTC,,,2026-06-23T01:45:00Z,,,,,,,,,,,,,
doge-updown-15m-1782179100,DOGE,,,2026-06-23T01:45:00Z,,,,,,,,,,,,,
eth-updown-15m-1782179100,ETH,,,2026-06-23T01:45:00Z,,,,,,,,,,,,,
hype-updown-15m-1782179100,HYPE,,,2026-06-23T01:45:00Z,,,,,,,,,,,,,
