slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1786752000,BNB,"BNB Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,607.3445906026317,Down,"[""0"", ""1""]",0.03,289.21631799999994,,-0.5045,0.001,resolved,0x65488a837229da5695453290cba4fee0fcd7eba13246f353029aee9327464446,https://data.chain.link/streams/bnb-usd-twap-60s-streams,,
btc-updown-15m-1786752000,BTC,"Bitcoin Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,62975.623261599336,Down,"[""0"", ""1""]",0.01,16018.695623,237.515394,-0.5045,0.001,resolved,0x8db83946c390a5126b30ed59c9bf2fec4a5b665f2fcca4ab41000a4bd20c8e83,https://data.chain.link/streams/btc-usd-twap-60s-streams,,
doge-updown-15m-1786752000,DOGE,"Dogecoin Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,0.06999822432558839,Down,"[""0"", ""1""]",0.08,168.87502299999997,23.173075,-0.515,0.01,resolved,0x8bfbc90d834a3858bd682b6d0ca5889df02d1738c40cf836e9c2fdf21cb4e9df,https://data.chain.link/streams/doge-usd-twap-60s-streams,,
eth-updown-15m-1786752000,ETH,"Ethereum Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,1880.3154308951937,Down,"[""0"", ""1""]",0.01,5652.769337,15,-0.5,0.01,resolved,0x49ff81b129ee6048e6d2bcde2cc48dc679974e1b4df99b6475b4549bf6f8461f,https://data.chain.link/streams/eth-usd-twap-60s-streams,,
hype-updown-15m-1786752000,HYPE,"Hyperliquid Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,56.46712833226969,Down,"[""0"", ""1""]",0.25,32.519999999999996,,-0.4995,0.001,resolved,0x30d8aaa66a7f38c4aac9492e86b08853af50dd96c5e84fbfd8fac84b4c031d42,https://data.chain.link/streams/hype-usd-twap-60s-streams,,
sol-updown-15m-1786752000,SOL,"Solana Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,75.31982477333813,Down,"[""0"", ""1""]",0.01,1623.0092180000001,,-0.5,0.01,resolved,0xabc36b616387f7c86f0cf6bdc555ff91fe0895066ffbac4f5673b44f753c587a,https://data.chain.link/streams/sol-usd-twap-60s-streams,,
xrp-updown-15m-1786752000,XRP,"XRP Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,0.9983081945379066,Down,"[""0"", ""1""]",0.01,2019.8357559999997,,-0.5,0.01,resolved,0x472380adb02fe9d9ff6d32d6f9d8cac7abe06225e6015b1dc2e9b7e60317160b,https://data.chain.link/streams/xrp-usd-twap-60s-streams,,
zec-updown-15m-1786752000,ZEC,"ZCash Up or Down - August 14, 8:00PM-8:15PM ET",2026-08-15T00:15:00Z,2026-08-15T00:00:00Z,492.80507911396006,Up,"[""1"", ""0""]",0.999,15,,0.4995,0.001,resolved,0xbf9c0519fee259a0a6bad9f39902018045b81cc44fa203a076b7590e001c3952,https://data.chain.link/streams/zec-usd-twap-60s-streams,,
bnb-updown-15m-1786752900,BNB,"BNB Up or Down - August 14, 8:15PM-8:30PM ET",2026-08-15T00:30:00Z,2026-08-15T00:15:00Z,607.0442405437808,Down,"[""0"", ""1""]",0.29,426.94320199999987,1.960783,-0.5,0.01,resolved,0xe8189305eaed0623a4a57c697a8d0513d52865aea7e1fd77a906dee47225a8cd,https://data.chain.link/streams/bnb-usd-twap-60s-streams,,
btc-updown-15m-1786752900,BTC,"Bitcoin Up or Down - August 14, 8:15PM-8:30PM ET",2026-08-15T00:30:00Z,2026-08-15T00:15:00Z,62949.528712189254,Down,"[""0"", ""1""]",0.01,19730.283680000004,16,-0.5,0.01,resolved,0xa018668f58d069e8a49721fc0235310712f7acbb4e385fa3b84bec4c84421e9d,https://data.chain.link/streams/btc-usd-twap-60s-streams,,
