slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1784073600,BNB,"BNB Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,581.4130616447317,Up,"[""1"", ""0""]",0.999,319.53943499999997,,0.4945,0.001,resolved,0x3dabaf4609fc7c46b624672e4fcfcc3996e7faa817a4431178b189647701e2f6,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784073600,BTC,"Bitcoin Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,64994.25270980651,Down,"[""0"", ""1""]",0.01,26017.865732000017,197,-0.5045,0.001,resolved,0x77f7dd482fd73bb3e197a49b657a343aa98f8e88751108b7f4fd897564c23c23,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784073600,DOGE,"Dogecoin Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,0.07439297763105635,Down,"[""0"", ""1""]",0.44,162.749867,,-0.495,0.01,resolved,0x17e51007bde72160b29da261a59d0873bf8e96d3568228daeab221c5882ec1d7,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784073600,ETH,"Ethereum Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,1890.4488180344647,Down,"[""0"", ""1""]",0.02,5623.544771000005,43,-0.4945,0.001,resolved,0x7be35b0877f80e05a50ecaf23fc1ccaf6b2f8586cc2ef77edae0789f28270c69,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784073600,HYPE,"Hyperliquid Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,65.51088209151914,Up,"[""1"", ""0""]",0.99,63.66477,,0.455,0.07,resolved,0x2cf361c78a157ede17039a4c5f924766cdf8a5499f08b3ed31b2514cb2df7720,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784073600,SOL,"Solana Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,77.81215906327402,Down,"[""0"", ""1""]",0.01,2346.0094659999995,20,-0.4945,0.001,resolved,0xc3e706eebb382cf6881186d4fa34b12b456861f190d45d8c88de2eee60e944d8,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784073600,XRP,"XRP Up or Down - July 14, 8:00PM-8:15PM ET",2026-07-15T00:15:00Z,2026-07-15T00:00:00Z,1.1110174240781827,Down,"[""0"", ""1""]",0.01,1933.134467,,-0.5045,0.001,resolved,0xe68a48adb907ffdd75a14e7d30d7b0c940142330c2d8a8ccd573e483ba60f911,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784074500,BNB,"BNB Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,582.3325664480053,Down,"[""0"", ""1""]",0.17,321.859701,,-0.5045,0.001,resolved,0x289375714a65a8d79a9818cfa57bbacfac841cd8dbb20fdc8888a7c106debc47,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784074500,BTC,"Bitcoin Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,64875.031687512506,Down,"[""0"", ""1""]",0.039,28387.99217700001,39,-0.5045,0.001,resolved,0x27f3349d0da1b2b2b3d0092bd462d098347420f020e971264b46debea276c8ba,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784074500,DOGE,"Dogecoin Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,0.07432851754547581,Down,"[""0"", ""1""]",0.4,242.142755,,-0.4995,0.001,resolved,0x043f984c8c9589ec48c3539e1f94fe0b8156bdf3fb626a9577f5f71f11c69b28,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784074500,ETH,"Ethereum Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,1886.086065,Down,"[""0"", ""1""]",0.013,5135.577532999999,33,-0.4945,0.001,resolved,0xb77a8185e997fb2afe02a28b4425a69a7d68a82308be36f9850f9dbaeb262f48,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784074500,HYPE,"Hyperliquid Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,65.57234898517142,Up,"[""1"", ""0""]",0.99,72.581319,,0.495,0.01,resolved,0xa65c702dd774dc552aa77699ca59f6a3bfa1f8b28bd2114cfb3bfbe9da8f2df8,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784074500,SOL,"Solana Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,77.63538645612823,Down,"[""0"", ""1""]",0.03,2446.893927,10,-0.5,0.01,resolved,0x6f0fe4577aefac440ccaf7ff1f8381d9336da75c727615e478f2f7ace7123b01,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784074500,XRP,"XRP Up or Down - July 14, 8:15PM-8:30PM ET",2026-07-15T00:30:00Z,2026-07-15T00:15:00Z,1.1093230647244816,Down,"[""0"", ""1""]",0.05,2890.8626440000016,,-0.4995,0.001,resolved,0xac74910927cbb727b59f07da2188a110d473917802b232b712d9569aca6cd14d,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784075400,BNB,"BNB Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,581.5833955632589,Down,"[""0"", ""1""]",0.05,242.637434,,-0.425,0.08,resolved,0xdaf0b8d9c99d49ec4037080909cc4a3dd927e34c9cc6325a9afa8713ffb9f1bb,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784075400,BTC,"Bitcoin Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,64842.044956408594,Down,"[""0"", ""1""]",0.001,32563.115294999996,33,-0.5045,0.001,resolved,0x08b441424a691f76867d70603e7b636fc41399db8f563c58736b9cedbbf9fff6,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784075400,DOGE,"Dogecoin Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,0.07411890224465192,Down,"[""0"", ""1""]",0.25,302.75841,,-0.4945,0.009,resolved,0xe6712d4abbd55dfedd689432ba3d264675b2e022017b588d01c780d6db8e862e,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784075400,ETH,"Ethereum Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,1879.5711658406117,Down,"[""0"", ""1""]",0.02,7358.797907000003,33,-0.495,0.02,resolved,0xa98aa6e72ca2e6ee5d8c8fd9e3f52153146ddf153422d6d2591cb2e0a28635de,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784075400,HYPE,"Hyperliquid Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,65.75916783887645,Up,"[""1"", ""0""]",0.05,242.71492999999998,,-0.29,0.18,resolved,0xd85285a849afe8719baf37ac7fe12b3bc5720798914c0745c1c4fd442a41011a,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784075400,SOL,"Solana Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,77.56177833672506,Down,"[""0"", ""1""]",0.02,1744.6077949999997,116.490344,-0.47,0.01,resolved,0xae063d309766f42b8b2a4cc38cae03a634349b385f2d615817dd0d8364a57ffe,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784075400,XRP,"XRP Up or Down - July 14, 8:30PM-8:45PM ET",2026-07-15T00:45:00Z,2026-07-15T00:30:00Z,1.1078284527660518,Down,"[""0"", ""1""]",0.06,1640.591722,,-0.5,0.01,resolved,0xf371c31bc43e1373bfffebc5dd75bbee8f6b848bec6bab81c520169455212902,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784076300,BNB,"BNB Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,581.4438100478885,Up,"[""1"", ""0""]",0.999,292.903907,154.733332,0.4945,0.001,resolved,0x0df1cdaef941ff5e02ccaa43d4bb19416ba7acc1d49a2af4a36e120dc1ec12e8,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784076300,BTC,"Bitcoin Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,64737.32301795388,Up,"[""1"", ""0""]",0.999,32753.616274999993,7564.006638,0.4945,0.001,resolved,0x04d6954f22c2d9bd0e17f6bc5503017f346fb3d2ab6f3aaf165792635ff1944a,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784076300,DOGE,"Dogecoin Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,0.074010525,Up,"[""1"", ""0""]",0.99,503.9467580000001,256.62093,0.465,0.01,resolved,0xcdc3de41f2522a96da2097a40c79dc46ce73982ebcd2d3ee0fab2602a75ac155,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784076300,ETH,"Ethereum Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,1878.2062,Up,"[""1"", ""0""]",0.999,5878.369818000001,2174.494525,0.5045,0.001,resolved,0x934026f12ffe7136cc0bb0ffb3176c14ad56ec929daa3f5f4aaf58642bbb5c63,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784076300,HYPE,"Hyperliquid Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,65.75998841181992,Down,"[""0"", ""1""]",0.21,169.530412,26,-0.495,0.01,resolved,0x8789d96590a6a341954c2a1fa3458db4e65662565a237f7003bec53021668537,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784076300,SOL,"Solana Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,77.4651925328593,Up,"[""1"", ""0""]",0.999,2613.465041,1290.457704,0.5045,0.001,resolved,0x4630da0005fa8a4eab6184c9394f5ad47c4787f7bf9b01131985144046334546,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784076300,XRP,"XRP Up or Down - July 14, 8:45PM-9:00PM ET",2026-07-15T01:00:00Z,2026-07-15T00:45:00Z,1.1067056350748363,Up,"[""1"", ""0""]",0.999,2826.401131000001,826.813599,0.4945,0.001,resolved,0x8af1e87f050283277c9227a5b45d69ca7deddf37971a6f8e93054031aba34d15,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784077200,BNB,"BNB Up or Down - July 14, 9:00PM-9:15PM ET",2026-07-15T01:15:00Z,2026-07-15T01:00:00Z,581.8283133596046,Down,"[""0"", ""1""]",0.022,431.68850100000003,,-0.4995,0.009,resolved,0xf7326d10dc015cce407ce720614e686cec3f0b790c450901e624b44b152b6384,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784077200,BTC,"Bitcoin Up or Down - July 14, 9:00PM-9:15PM ET",2026-07-15T01:15:00Z,2026-07-15T01:00:00Z,64780.251495727076,Down,"[""0"", ""1""]",0.001,23452.74061,203.88235,-0.4925,0.003,resolved,0x8b0bb62e285a65b2da6e2bdada858598e32680269d99f185bf2c9e0eb82c8199,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784077200,DOGE,"Dogecoin Up or Down - July 14, 9:00PM-9:15PM ET",2026-07-15T01:15:00Z,2026-07-15T01:00:00Z,0.07406553796034937,Down,"[""0"", ""1""]",0.03,375.206325,,-0.495,0.008,resolved,0x73f59097de4e02ecb17856c8ae6274651dcd2cb822ab95ad6f6a0dc6773e2042,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784077200,ETH,"Ethereum Up or Down - July 14, 9:00PM-9:15PM ET",2026-07-15T01:15:00Z,2026-07-15T01:00:00Z,1880.3735700000002,Down,"[""0"", ""1""]",0.001,5389.788788000001,52.55769,-0.5045,0.001,resolved,0x68e82607574c2b46e256e907e92ae2f2674e32d4f859c67e57e67690bb691133,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784077200,HYPE,"Hyperliquid Up or Down - July 14, 9:00PM-9:15PM ET",2026-07-15T01:15:00Z,2026-07-15T01:00:00Z,65.6689,Down,"[""0"", ""1""]",0.09,166.38547599999998,,-0.4945,0.009,resolved,0x926dbb05a5804beb8a3c3f0b989c855785c5bbffc7681cb9170a0f0881968710,https://data.chain.link/streams/hype-usd,,
