slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1784678400,BNB,"BNB Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,573.5801367404766,Up,"[""1"", ""0""]",0.99,237.9884140000001,,0.49,0.01,resolved,0x939fe1a9e9af21d039b7e238f7c6971f70d8b84ac3e0a66f4b1ee8d7a34331ad,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784678400,BTC,"Bitcoin Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,66514.51849714105,Up,"[""1"", ""0""]",0.999,29350.772821000028,31.999999,0.5045,0.001,resolved,0xb8c559b2bf7d89840981cf8de079d251eb6dda99ebcc13e0d15356d29ee206c0,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784678400,DOGE,"Dogecoin Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,0.073341268,Up,"[""1"", ""0""]",0.999,270.610293,,0.4995,0.001,resolved,0xac9c78a8938630c1941955c547f8f98ed23690a034734bb81201dd307dd844c9,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784678400,ETH,"Ethereum Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,1928.9348,Up,"[""1"", ""0""]",0.999,5347.4243810000025,,0.5045,0.001,resolved,0x89f7c655b78ca20574f08a71839836c37ff31fc8fa21742e6c478c4e6e7270d9,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784678400,HYPE,"Hyperliquid Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,60.87201100000001,Up,"[""1"", ""0""]",0.99,16.694914,,0.495,0.01,resolved,0x482865c998158410a7fbfb79f4915ba5655b2224417b0ed85f39005d3bcdbfec,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784678400,SOL,"Solana Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,78.0859639256525,Up,"[""1"", ""0""]",0.999,2368.299070000001,,0.5045,0.001,resolved,0x85fb34f05f209059003314d234f29f37d93e52328bfa87893a49bed906dc53a4,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784678400,XRP,"XRP Up or Down - July 21, 8:00PM-8:15PM ET",2026-07-22T00:15:00Z,2026-07-22T00:00:00Z,1.1430502425337075,Up,"[""1"", ""0""]",0.999,1704.9439849999994,3.846152,0.4945,0.001,resolved,0xa13d239469c35b8dc638fcb8c05708fabb51148d26b61e9b0856f99293e0372c,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784679300,BNB,"BNB Up or Down - July 21, 8:15PM-8:30PM ET",2026-07-22T00:30:00Z,2026-07-22T00:15:00Z,573.9054619839226,Up,"[""1"", ""0""]",0.99,342.87995099999983,,0.49,0.01,resolved,0x51cf4e8f2a7c6aacbbda25f2ed585efdfdd9901acde6bd6d898ec1aa3d19e719,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784679300,BTC,"Bitcoin Up or Down - July 21, 8:15PM-8:30PM ET",2026-07-22T00:30:00Z,2026-07-22T00:15:00Z,66641.55170935702,Down,"[""0"", ""1""]",0.01,41358.36816000003,22,-0.5045,0.001,resolved,0x73b00cd0f6958ee191d017928a81df74af9dafbb965e3c47d884cf01e29216ca,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784679300,DOGE,"Dogecoin Up or Down - July 21, 8:15PM-8:30PM ET",2026-07-22T00:30:00Z,2026-07-22T00:15:00Z,0.0736148538303371,Up,"[""1"", ""0""]",0.999,665.9526140000004,,0.4995,0.001,resolved,0xde3ecae2679a77b75121fa7dc1a67b523063724ad821c6cb46b4ec136346dc18,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784679300,ETH,"Ethereum Up or Down - July 21, 8:15PM-8:30PM ET",2026-07-22T00:30:00Z,2026-07-22T00:15:00Z,1936.906898642085,Down,"[""0"", ""1""]",0.01,8623.08369400001,61.215679,-0.49,0.01,resolved,0x256b4e3ea369e8c0832a1c47348e6e8188d107903dec254ba70dbc9cdf0edac4,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784679300,HYPE,"Hyperliquid Up or Down - July 21, 8:15PM-8:30PM ET",2026-07-22T00:30:00Z,2026-07-22T00:15:00Z,60.95308,Up,"[""1"", ""0""]",0.99,62.75334999999999,,0.495,0.01,resolved,0x5f69c6129d22f4e98eb711f0cd52f329f4dbe864a25f4cd12a570cf9eff0ce7a,https://data.chain.link/streams/hype-usd,,
