slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1784246400,BNB,"BNB Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,571.9681532074386,Down,"[""0"", ""1""]",0.05,76.97131999999999,,-0.5,0.01,resolved,0x3eed9e2680b47f9cc6490eded1102b1f9fc84376c8baf388ce035a75d4342377,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784246400,BTC,"Bitcoin Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,63780.52168299978,Down,"[""0"", ""1""]",0.001,28879.455322000016,145.370012,-0.5,0.01,resolved,0x6ccc48bb6f9db16a04dce9ccc3a01ecd4c286841e396d26b68282ab9ff86d8e5,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784246400,DOGE,"Dogecoin Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,0.0723535,Down,"[""0"", ""1""]",0.23,401.73721900000004,,-0.495,0.01,resolved,0x88b8bd0f35c8f4630fbd8c15ab7f86374e88d670a97c87a798582a8892c9ed40,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1784246400,ETH,"Ethereum Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,1863.18070038586,Down,"[""0"", ""1""]",0.01,6139.004369000001,33,-0.5,0.01,resolved,0xa3c47b240c6038102fc11ddd3df1a8e3b99a3301f7b9b8a1ea52f5a0847892e5,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1784246400,HYPE,"Hyperliquid Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,60.704869284589186,Up,"[""1"", ""0""]",0.999,154.997,,0.4945,0.009,resolved,0xfea32296c5a9f31f790f78209bf4b1d9fd7494b6e098fe09e35964b610ac2e43,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1784246400,SOL,"Solana Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,75.25859689184574,Down,"[""0"", ""1""]",0.04,1979.6418170000002,5,-0.5,0.01,resolved,0x1e766c4d5d6fb2375d906acf25d9b000b34dc434646628cd1c15f8169e26064d,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1784246400,XRP,"XRP Up or Down - July 16, 8:00PM-8:15PM ET",2026-07-17T00:15:00Z,2026-07-17T00:00:00Z,1.0863206911566576,Down,"[""0"", ""1""]",0.18,1190.6802260000002,,-0.5,0.01,resolved,0xf91a36b677832e90522f87f8b5eb23f6bd7f90bb847aa0d67d5b24e1b5971ce6,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1784247300,BNB,"BNB Up or Down - July 16, 8:15PM-8:30PM ET",2026-07-17T00:30:00Z,2026-07-17T00:15:00Z,571.50676,Up,"[""1"", ""0""]",0.99,454.1256369999999,,0.49,0.01,resolved,0xdae30027b0acb0d75c72f2faa1e182bccb9d25db50a2333f3dc7fdee45456f66,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1784247300,BTC,"Bitcoin Up or Down - July 16, 8:15PM-8:30PM ET",2026-07-17T00:30:00Z,2026-07-17T00:15:00Z,63738.4320024508,Up,"[""1"", ""0""]",0.99,39604.98775599996,33,0.49,0.01,resolved,0x36a841b9bf2c812d0ae20191c57b558bc048433df42166178bddf2dc1bdcf91c,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1784247300,DOGE,"Dogecoin Up or Down - July 16, 8:15PM-8:30PM ET",2026-07-17T00:30:00Z,2026-07-17T00:15:00Z,0.072234226,Up,"[""1"", ""0""]",0.999,248.84845,,0.4995,0.001,resolved,0xcf378c10953bbc2f6a6fe787a170b05bb5bb7c752c486c91e957bae08f48eeb4,https://data.chain.link/streams/doge-usd,,
