slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-15m-1783123200,BNB,"BNB Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,573.2477290760366,Up,"[""1"", ""0""]",0.999,2509.458775,206.834774,0.4945,0.001,resolved,0x1e5b4360ee46abec8adf6a501e4f24f133298ddc7073e5c5b9205842983de044,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1783123200,BTC,"Bitcoin Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,62524.59602354272,Up,"[""1"", ""0""]",0.999,25806.698211999996,19328.624356,0.4945,0.001,resolved,0x73a390c5762f7e057f65a2b48306feae091f20ac5b4ada207d316f42c4c3be08,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1783123200,DOGE,"Dogecoin Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,0.07746351438365864,Up,"[""1"", ""0""]",0.99,874.584295,633.349124,0.495,0.01,resolved,0x12b2b70bdebdcd2f84de7678d2e1e5f9af14f4968950396b9e04fdedd42d8815,https://data.chain.link/streams/doge-usd,,
eth-updown-15m-1783123200,ETH,"Ethereum Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,1756.4410144554543,Up,"[""1"", ""0""]",0.999,12701.639716000003,6359.409613,0.4945,0.001,resolved,0x3e74fd4e554589bb6133ff694e196f9cc429228b8a2cb1efce4afc3fbdb9543a,https://data.chain.link/streams/eth-usd,,
hype-updown-15m-1783123200,HYPE,"Hyperliquid Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,70.64433577001503,Up,"[""1"", ""0""]",0.999,404.178518,118.003655,0.4945,0.009,resolved,0xbd2772f50b52bf69d2680a74c541cd93e7846590fe5eb50893da8fd1bdef542a,https://data.chain.link/streams/hype-usd,,
sol-updown-15m-1783123200,SOL,"Solana Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,82.27730544327228,Up,"[""1"", ""0""]",0.999,8705.654768000002,5515.067902,0.4945,0.001,resolved,0xe28bccce48a892dcc38fc7a35861a6151a684e7399f50be0c94a5d52dd25fe04,https://data.chain.link/streams/sol-usd,,
xrp-updown-15m-1783123200,XRP,"XRP Up or Down - July 3, 8:00PM-8:15PM ET",2026-07-04T00:15:00Z,2026-07-04T00:00:00Z,1.133797032915939,Up,"[""1"", ""0""]",0.999,1825.1713319999994,1401.329732,0.4945,0.001,resolved,0x770f8e40de2ad25f81bf0bc85a7ce6cb0199d58b96c42dccee9d8cc01e184ae9,https://data.chain.link/streams/xrp-usd,,
bnb-updown-15m-1783124100,BNB,"BNB Up or Down - July 3, 8:15PM-8:30PM ET",2026-07-04T00:30:00Z,2026-07-04T00:15:00Z,574.4549542753707,Down,"[""0"", ""1""]",0.1,265.912773,87.922373,-0.5045,0.001,resolved,0xf61c28a1c9d8eb4b6a1f1e9b25f72ddec1c88eae9b20b8af36a5807942edae7e,https://data.chain.link/streams/bnb-usd,,
btc-updown-15m-1783124100,BTC,"Bitcoin Up or Down - July 3, 8:15PM-8:30PM ET",2026-07-04T00:30:00Z,2026-07-04T00:15:00Z,62773.2360235216,Down,"[""0"", ""1""]",0.01,25102.882539999966,17281.023452,-0.4945,0.001,resolved,0x327283ccc2d709fbce9ff9101211935bcb3701e3845df84ba9d959800f9f571e,https://data.chain.link/streams/btc-usd,,
doge-updown-15m-1783124100,DOGE,"Dogecoin Up or Down - July 3, 8:15PM-8:30PM ET",2026-07-04T00:30:00Z,2026-07-04T00:15:00Z,0.07754816517776371,Down,"[""0"", ""1""]",0.001,468.75772900000004,262.775729,-0.4845,0.001,resolved,0xd266b4f77864f0a433d2b9b71f8de598e16c170e9a329ebe3db36149a68af621,https://data.chain.link/streams/doge-usd,,
