slug,asset,question,endDate,eventStartTime,priceToBeat,winningOutcome,outcomePrices,lastTradePrice,volume,openInterest,oneHourPriceChange,spread,umaResolutionStatus,conditionId,resolutionSource,finalPrice,closedTime
bnb-updown-5m-1782604800,BNB,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
btc-updown-5m-1782604800,BTC,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
doge-updown-5m-1782604800,DOGE,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
eth-updown-5m-1782604800,ETH,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
hype-updown-5m-1782604800,HYPE,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
sol-updown-5m-1782604800,SOL,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
xrp-updown-5m-1782604800,XRP,,,2026-06-28T00:00:00Z,,,,,,,,,,,,,
bnb-updown-5m-1782605100,BNB,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
btc-updown-5m-1782605100,BTC,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
doge-updown-5m-1782605100,DOGE,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
eth-updown-5m-1782605100,ETH,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
hype-updown-5m-1782605100,HYPE,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
sol-updown-5m-1782605100,SOL,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
xrp-updown-5m-1782605100,XRP,,,2026-06-28T00:05:00Z,,,,,,,,,,,,,
bnb-updown-5m-1782605400,BNB,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
btc-updown-5m-1782605400,BTC,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
doge-updown-5m-1782605400,DOGE,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
eth-updown-5m-1782605400,ETH,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
hype-updown-5m-1782605400,HYPE,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
sol-updown-5m-1782605400,SOL,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
xrp-updown-5m-1782605400,XRP,,,2026-06-28T00:10:00Z,,,,,,,,,,,,,
bnb-updown-5m-1782605700,BNB,,,2026-06-28T00:15:00Z,,,,,,,,,,,,,
